Id,R,Nome,Squadra,Qt.I,FVM
5739,D,De Winter,Milan,5,24
6202,D,Beukema,Napoli,5,10
6631,D,Ghilardi,Roma,5,8
7526,D,Comert,Torino,5,14
6021,D,Abankwah,Udinese,5,13
7253,D,Bella-Kotchap,Venezia,5,13
4845,D,Correia T.,Venezia,5,8
5695,D,Haps,Venezia,5,10
7563,D,Favasuli,Napoli,5,15
5751,D,Patterson,Torino,5,10
2169,D,Rodriguez R.,Torino,5,12
7068,D,Vitik,Bologna,4,10
5449,D,Parisi,Fiorentina,4,10
5757,D,Cittadini,Frosinone,4,11
7012,D,Provstgaard,Lazio,4,12
7131,D,Floriani Mussolini,Lazio,4,11
6632,D,Gaspar K.,Lecce,4,12
6659,D,Lucchesi,Monza,4,11
7238,D,Kouadio,Monza,4,14
4925,D,Carboni A.,Monza,4,9
5840,D,Olivera,Napoli,4,10
7235,D,Troilo,Parma,4,14
5307,D,Valenti,Parma,4,10
7255,D,Britschgi,Parma,4,12
6986,D,Rensch,Roma,4,14
5820,D,Bertola,Udinese,4,9
6890,D,Moreno M.,Venezia,4,6
6681,D,Sagrado,Venezia,4,4
4375,D,Terzic,Frosinone,4,5
7573,D,Cinquegrano,Sassuolo,4,10
256,D,Juan Jesus,Venezia,4,10
6047,D,Ehizibue,Genoa,4,10
5578,D,Kossounou,Atalanta,3,12
7326,D,Helland,Bologna,3,12
7014,D,Smolcic I.,Como,3,10
5603,D,Pongracic,Fiorentina,3,8
4378,D,Ranieri L.,Fiorentina,3,10
7537,D,Mitaj,Genoa,3,7
5273,D,Estupinan,Milan,3,13
4374,D,Walukiewicz,Sassuolo,3,10
4263,D,Kabasele,Udinese,3,12
5994,D,Ebosse,Udinese,3,5
5527,D,Zanoli,Udinese,3,10
7312,D,Arizala,Udinese,3,8
7154,D,Odenthal,Sassuolo,3,7
7599,D,Lulli,Roma,3,10
5742,D,Drameh,Genoa,3,9
5498,D,Casale,Bologna,2,5
7483,D,Alhassane,Bologna,2,6
7125,D,Idrissi R.,Cagliari,2,3
7175,D,Joao Mario,Fiorentina,2,12
7540,D,Akpoguma,Frosinone,2,6
6977,D,Otoa,Genoa,2,5
791,D,Sabelli,Genoa,2,5
7476,D,Bakoune,Monza,2,4
6638,D,Marin R.,Napoli,2,13
6985,D,Cand ,Sassuolo,2,7
6925,D,Palma,Udinese,2,11
7538,D,Halhal,Venezia,2,10
6892,D,Schingtienne,Venezia,2,10
6673,D,Sverko,Venezia,2,7
7478,D,Franjic,Venezia,2,7
6537,D,Goglichidze,Monza,2,5
7605,D,Tchato,Frosinone,2,6
6601,D,Kambwala,Como,2,7
7615,D,Drobnic,Parma,2,1
487,D,De Silvestri,Bologna,1,4
418,D,Goldaniga,Como,1,1
6896,D,Van Der Brempt,Sassuolo,1,11
5424,D,Amey,Frosinone,1,1
7413,D,Puczka,Genoa,1,3
294,D,Rugani,Juventus,1,3
6039,D,Cabal,Juventus,1,4
327,D,Patric,Lazio,1,1
2263,D,Lazzari,Lazio,1,5
2728,D,Pellegrini Lu.,Lazio,1,7
6883,D,Jean,Lecce,1,4
7182,D,Ndaba,Lecce,1,5
7525,D,Diawara S.,Milan,1,4
5399,D,Antov,Monza,1,2
6809,D,Marianucci,Napoli,1,3
5481,D,Mazzocchi,Venezia,1,10
7202,D,Ndiaye,Parma,1,8
6149,D,Carboni F.,Parma,1,3
7260,D,Ziolkowski,Monza,1,8
7156,D,Pieragnolo,Sassuolo,1,1
252,D,Biraghi,Torino,1,5
7454,D,Gomes,Venezia,1,1
7548,D,Aurelio,Cagliari,1,5
7553,D,Omar Fayed,Frosinone,1,1
5812,D,Terracciano F.,Milan,1,4
7604,D,Maye,Monza,1,1
6826,D,Dembel  A.,Lecce,1,2
6875,C,Paz N.,Como,30,257
2194,C,Calhanoglu,Inter,27,237
4777,C,McTominay,Napoli,26,150
2167,C,Orsolini,Bologna,24,146
2423,C,Pulisic,Milan,24,142
2379,C,Rabiot,Milan,23,135
7126,C,Baturina,Como,20,155
7556,C,Mora,Roma,20,91
5559,C,Da Cunha,Como,18,85
1870,C,Barella,Inter,18,88
2517,C,De Bruyne,Napoli,17,103
2766,C,Zaniolo,Udinese,17,73
6908,C,Atta,Fiorentina,16,68
4973,C,McKennie,Juventus,16,61
632,C,Zaccagni,Lazio,16,100
7078,C,Mastantuono,Fiorentina,14,39
5119,C,Samardzic,Atalanta,13,37
5800,C,Gudmundsson A.,Lazio,13,41
152,C,Zielinski,Inter,13,41
6884,C,Conceicao,Juventus,13,63
7314,C,Taylor K.,Lazio,13,43
6684,C,Ekkelenkamp,Udinese,13,64
6372,C,Moreira,Milan,13,50
4179,C,Gonzalez N.,Juventus,13,48
5792,C,Ederson D.S.,Atalanta,12,48
2606,C,Modric,Milan,12,44
5687,C,Vlasic,Torino,12,60
5172,C,Jones C.,Inter,12,36
6151,C,Perrone,Como,11,34
7129,C,Rodriguez Je.,Como,11,24
5823,C,Baldanzi,Genoa,11,22
2848,C,Frattesi,Lazio,11,117
7436,C,Alajbegovic,Juventus,11,40
1850,C,Kessi ,Atalanta,11,38
7625,C,Goncalves P.,Fiorentina,11,40
184,C,Bernardeschi,Bologna,10,26
6844,C,Rowe,Atalanta,10,37
1933,C,Mandragora,Torino,10,35
6274,C,Diouf,Inter,10,53
5500,C,Cancellieri,Lazio,10,21
4892,C,Saelemaekers,Milan,10,28
4287,C,Lobotka,Napoli,10,28
4220,C,Zambo Anguissa,Napoli,10,30
536,C,Politano,Napoli,10,35
5589,C,Kon  M.,Roma,10,38
