,,,,,,,,,,
1ª Giornata lega,,3ª Giornata serie a,,,,2ª Giornata lega,,4ª Giornata serie a,,
EINTRACHT FRANCOFORTE,80,90,Red Bull Lipsia,3-5,,Red Bull Lipsia,0,0,Bayer 04 Leverkusen,-
19ª Giornata lega,,21ª Giornata serie a,,,,20ª Giornata lega,,22ª Giornata serie a,,
Borussia Dortmund,0,0,Borussia Mgladbach,-,,Red Bull Lipsia,0,0,Borussia Dortmund,-
Friburgo,0,0,Red Bull Lipsia,-,,Bayer 04 Leverkusen,0,0,Wolfsburg,-
Bayern Monaco,0,0,EINTRACHT FRANCOFORTE,-,,EINTRACHT FRANCOFORTE,0,0,Hoffenheim,-
Hoffenheim,0,0,Bayer 04 Leverkusen,-,,Borussia Mgladbach,0,0,Bayern Monaco,-
Wolfsburg,0,0,Union Berlino,-,,Union Berlino,0,0,Friburgo,-
21ª Giornata lega,,23ª Giornata serie a,,,,22ª Giornata lega,,24ª Giornata serie a,,
Borussia Dortmund,0,0,Union Berlino,-,,Red Bull Lipsia,0,0,Borussia Mgladbach,-
Friburgo,0,0,Bayer 04 Leverkusen,-,,Hoffenheim,0,0,Friburgo,-
Bayern Monaco,0,0,Red Bull Lipsia,-,,Bayer 04 Leverkusen,0,0,Borussia Dortmund,-
Borussia Mgladbach,0,0,EINTRACHT FRANCOFORTE,-,,EINTRACHT FRANCOFORTE,0,0,Wolfsburg,-
Wolfsburg,0,0,Hoffenheim,-,,Union Berlino,0,0,Bayern Monaco,-
23ª Giornata lega,,25ª Giornata serie a,,,,24ª Giornata lega,,26ª Giornata serie a,,
Borussia Dortmund,0,0,Hoffenheim,-,,Hoffenheim,0,0,Bayern Monaco,-
Friburgo,0,0,Wolfsburg,-,,Bayer 04 Leverkusen,0,0,Borussia Mgladbach,-
Red Bull Lipsia,0,0,EINTRACHT FRANCOFORTE,-,,EINTRACHT FRANCOFORTE,0,0,Friburgo,-
Bayern Monaco,0,0,Bayer 04 Leverkusen,-,,Union Berlino,0,0,Red Bull Lipsia,-
